0, 0.132119
0.007292, 0.159129
0.141665, 0.206955
0.078124, 0.231303
0.172914, 0.283476
0.180206, 0.311302
0.244788, 0.37565
0.251038, 0.410432
0.274996, 0.442606
0.354162, 0.472171
0.312496, 0.499997
0.416661, 0.529562
0.387495, 0.563475
0.401036, 0.595648
0.637491, 0.784343
0.584367, 0.816516
0.721865, 0.882603
0.688532, 0.913038
0.783323, 0.968689
0.801031, 0.999993
0.795822, 1.032167
0.861446, 1.060863
0.827072, 1.08521
0.918737, 1.130427
0.956237, 1.18521
0.979153, 1.213905
0.980195, 1.24347
1.054152, 1.275644
1.134359, 1.40086
1.188525, 1.432165
1.209358, 1.499121
1.267691, 1.552164
1.370814, 1.626946
1.335398, 1.656511
1.454147, 1.716511
1.472896, 1.749554
1.472896, 1.781728
1.539562, 1.838249
1.542687, 1.866075
1.597895, 1.89564
1.609353, 1.927814
1.648935, 1.958248
1.628102, 1.983465
1.722893, 2.006074
1.69581, 2.027813
1.721851, 2.05303
1.707268, 2.079987
1.801017, 2.107812
1.806225, 2.136508
1.829141, 2.168682
1.906223, 2.234768
1.90414, 2.266072
2.040597, 2.357376
2.010389, 2.392158
2.044763, 2.423463
2.02393, 2.44868
2.133304, 2.495636
2.186428, 2.553027
2.219761, 2.582592
2.208303, 2.613027
2.291635, 2.6452
2.253094, 2.677374
2.393717, 2.76433
2.401008, 2.793025
2.429133, 2.825199
2.412467, 2.856503
2.596839, 2.98085
2.593714, 3.009546
2.609339, 3.039111
2.661421, 3.070415
2.673921, 3.137371
2.817669, 3.226936
2.788503, 3.259109
2.872877, 3.374761
2.977042, 3.398239
2.959334, 3.423456
3.005167, 3.479108
3.049958, 3.540847
3.077041, 3.57389
3.079124, 3.607803
3.195789, 3.666933
3.159331, 3.697367
3.233288, 3.729541
3.223914, 3.759976
3.339537, 3.829541
3.311412, 3.852149
3.358287, 3.878236
3.343704, 3.906062
3.431202, 3.965192
3.433286, 4.032148
3.518701, 4.064322
3.515576, 4.094756
3.567659, 4.123452
3.564534, 4.155625
3.644741, 4.190408
3.623908, 4.223451
3.69474, 4.251277
3.677032, 4.274755
3.763489, 4.298233
3.708282, 4.32345
3.849947, 4.409537
3.807239, 4.439971
3.866613, 4.472145
3.893696, 4.533884
3.97807, 4.61997
3.986403, 4.652144
4.179109, 4.834751
4.219733, 4.899099
4.281191, 4.933012
4.283274, 4.966055
4.328065, 4.99649
4.32494, 5.025185
4.389522, 5.056489
4.366606, 5.089532
4.403064, 5.122576
4.404106, 5.149532
4.46973, 5.17301
4.465563, 5.219966
4.537437, 5.246923
4.541604, 5.274749
4.636394, 5.402574
4.717643, 5.461704
4.688477, 5.490399
4.79785, 5.582573
4.824933, 5.629529
4.895765, 5.651268
4.909307, 5.677355
4.890557, 5.705181
4.92389, 5.734746
5.008264, 5.76605
4.978056, 5.799963
5.010347, 5.834745
5.017639, 5.867788
5.041597, 5.897353
5.15097, 5.953875
5.103054, 5.985179
5.174928, 6.019092
5.154095, 6.048657
5.266594, 6.145178
5.468674, 6.359959
5.448883, 6.386915
5.503049, 6.415611
5.495757, 6.446915
5.538465, 6.478219
5.531173, 6.506045
5.61763, 6.528654
5.571798, 6.551262
5.635338, 6.57561
5.609297, 6.602566
5.689504, 6.661696
5.827002, 6.823434
5.879085, 6.852999
5.865544, 6.886043
5.879085, 6.919955
5.932209, 6.95039
5.917626, 6.975607
