vol_label,vol_key,V_norm,p_norm_mean,p_norm_std
25%,v1,0.0,0.005998458495386948,0.004245242938631076
25%,v1,8.451423925614809e-06,0.01159612868942487,0.00950953637389183
25%,v1,1.6902847851229618e-05,0.018696321655726253,0.014689428728558837
25%,v1,2.5354271776844426e-05,0.021217576501686163,0.01571594141711969
25%,v1,3.3805695702459236e-05,0.024057581081647274,0.01534493852070963
25%,v1,4.225711962807405e-05,0.024367979237615887,0.013459101424110564
25%,v1,5.070854355368885e-05,0.022513239160589296,0.009564740823500936
25%,v1,5.915996747930366e-05,0.025034307352858127,0.009562556891088012
25%,v1,6.761139140491847e-05,0.029734295317711046,0.010962574278672133
25%,v1,7.606281533053328e-05,0.03131941008560852,0.013799643193206661
25%,v1,8.45142392561481e-05,0.02922668313989914,0.011538438395771459
25%,v1,9.29656631817629e-05,0.027498793294359725,0.009030867672187715
25%,v1,0.0001014170871073777,0.030329920307685658,0.007307044271502071
25%,v1,0.00010986851103299252,0.0329086742702381,0.007698022749036526
25%,v1,0.00011831993495860732,0.03433430994933278,0.009097092701645245
25%,v1,0.00012677135888422214,0.035328667670515575,0.010823067992480253
25%,v1,0.00013522278280983695,0.03590154015865284,0.009812997233177526
25%,v1,0.00014367420673545175,0.03645564119582392,0.008593800352564313
25%,v1,0.00015212563066106655,0.03650066772336992,0.0064503071726378924
25%,v1,0.00016057705458668138,0.0373143237158977,0.006454387233218715
25%,v1,0.0001690284785122962,0.03808092667570215,0.006488447271003379
25%,v1,0.000177479902437911,0.03884853712160478,0.006463299910616427
25%,v1,0.0001859313263635258,0.038914146718957585,0.005927971482640877
25%,v1,0.0001943827502891406,0.0408391521125259,0.005789948944615261
25%,v1,0.0002028341742147554,0.04649956727197015,0.01032281120522423
25%,v1,0.00021128559814037024,0.053210239301936905,0.01423838792317371
25%,v1,0.00021973702206598504,0.05743970446484766,0.016936145864256503
25%,v1,0.00022818844599159984,0.057850498422723474,0.014885118657022951
25%,v1,0.00023663986991721465,0.05766880623443592,0.013619008824572664
25%,v1,0.0002450912938428295,0.058346244605207334,0.012891960061204867
25%,v1,0.0002535427177684443,0.059638284226814914,0.012939421187603
25%,v1,0.0002619941416940591,0.062425652269037624,0.012851872924501389
25%,v1,0.0002704455656196739,0.06398848213728868,0.012796553230629257
25%,v1,0.0002788969895452887,0.0645713031397909,0.012540397114774969
25%,v1,0.0002873484134709035,0.06250283844448974,0.012969664972361168
25%,v1,0.0002957998373965183,0.060718613244748414,0.013318338930406338
25%,v1,0.0003042512613221331,0.05940288800952555,0.013745850203822959
25%,v1,0.0003127026852477479,0.05855737105964065,0.014253765144742546
25%,v1,0.00032115410917336277,0.058491243917094156,0.014319136941733309
25%,v1,0.00032960553309897757,0.0598781493815851,0.013402001751458264
25%,v1,0.0003380569570245924,0.0625164503430787,0.012041899871018136
25%,v1,0.0003465083809502072,0.06523005059071993,0.01113026895545982
25%,v1,0.000354959804875822,0.06671086486524291,0.011075541665807258
25%,v1,0.0003634112288014368,0.06715882195586295,0.011410611149626066
25%,v1,0.0003718626527270516,0.06703130475404284,0.011753900403985882
25%,v1,0.0003803140766526664,0.06676994579760952,0.012118966571094326
