theta_rad,theta_over_pi,t_over_R_vol_low,t_over_R_vol_mid,t_over_R_vol_high
0.0,0.0,0.013392821363657237,0.010686323081688948,0.012808953122640234
0.03529879386055947,0.011235955056179775,0.013611082578179785,0.010511016479837368,0.01262089018641174
0.07059758772111895,0.02247191011235955,0.014095514000423448,0.010327848554594798,0.01258320283686347
0.10589638158167841,0.033707865168539325,0.014270792939107314,0.010386903962075164,0.01256056841950113
0.1411951754422379,0.0449438202247191,0.014237549406813054,0.010495794168737476,0.012811455547114084
0.17649396930279737,0.056179775280898875,0.014463094735786235,0.011083114952733276,0.0134944975580428
0.21179276316335682,0.06741573033707865,0.014250757190727594,0.01207650643467598,0.01428586475727655
0.2470915570239163,0.07865168539325842,0.014459714053277674,0.013123595189056654,0.015682576672404417
0.2823903508844758,0.0898876404494382,0.014830662449151521,0.014115076913441783,0.016879587634422995
0.31768914474503523,0.10112359550561797,0.015040723249117925,0.01521981906919872,0.018130235074695435
0.35298793860559474,0.11235955056179775,0.015111008995091314,0.015943040740279874,0.01940589567645583
0.3882867324661542,0.12359550561797752,0.015710490514261464,0.016145865547583637,0.019957589804445428
0.42358552632671365,0.1348314606741573,0.015712919720948553,0.016351914224319437,0.020486129997312544
0.45888432018727315,0.14606741573033707,0.015623979098366153,0.015540067790964604,0.01984756479653838
0.4941831140478326,0.15730337078651685,0.01571623083607701,0.01439156865349219,0.018664191606979255
0.5294819079083921,0.16853932584269662,0.015254323534655459,0.012860982709103836,0.017041981962157785
0.5647807017689516,0.1797752808988764,0.015130800783916104,0.011460762179610331,0.015314517227965506
0.600079495629511,0.19101123595505617,0.014900987765965138,0.010421842324723788,0.014268092514718871
0.6353782894900705,0.20224719101123595,0.014427463705590223,0.009539519300431818,0.013317932184396425
0.67067708335063,0.21348314606741575,0.014402915354137904,0.009430244291375196,0.01298566365583797
0.7059758772111895,0.2247191011235955,0.01406674612034659,0.009505474544669835,0.012570027417979706
0.7412746710717489,0.23595505617977527,0.013468943352319731,0.010089178809749424,0.012513704771478184
0.7765734649323084,0.24719101123595505,0.013504394465307804,0.010963214735716438,0.012669312892705996
0.8118722587928678,0.2584269662921348,0.01299720944174136,0.011557611319199017,0.013042220418217391
0.8471710526534273,0.2696629213483146,0.012980935055058426,0.011557208823497525,0.013487791670555872
0.8824698465139869,0.2808988764044944,0.013069187629701197,0.011451790799155542,0.01366145404237425
0.9177686403745463,0.29213483146067415,0.013312434713314975,0.01123961971676792,0.01388638125662333
0.9530674342351058,0.30337078651685395,0.013489106415132072,0.011123324903856702,0.013774728894470968
0.9883662280956652,0.3146067415730337,0.013267550530166398,0.01176023031803463,0.013794058219710444
