V_norm,p_norm_mean,p_norm_std
0.0,0.0,0.0
1.488560375530345e-05,0.0006306906941893634,0.0031834680093725063
2.97712075106069e-05,5.339695789567869e-05,0.004824827029706776
4.465681126591035e-05,-0.00024584002962560383,0.004902420536870806
5.95424150212138e-05,0.006094800262573473,0.008590841531413715
7.442801877651725e-05,0.006611309342856836,0.008942362024558084
8.93136225318207e-05,0.008548543964130713,0.010428468295765362
0.00010419922628712415,0.00931394347464203,0.010851756663946749
0.0001190848300424276,0.010037056029385441,0.012765137550969701
0.00013397043379773105,0.009121191241765305,0.013432042939080766
0.0001488560375530345,0.01048868967137011,0.01591836781863833
0.00016374164130833794,0.015525847051361757,0.012464700192222941
0.0001786272450636414,0.0202403911107541,0.02020350247770453
0.00019351284881894486,0.023152703272802787,0.01673147861441477
0.0002083984525742483,0.02708394099079015,0.0197834396235021
0.00022328405632955175,0.028938258042080195,0.010917086634487058
0.0002381696600848552,0.03254668118139272,0.012074751848149321
0.0002530552638401587,0.032803994949263886,0.011084467854093354
0.0002679408675954621,0.02974415366044573,0.011419483269517857
0.00028282647135076557,0.03297645928992822,0.008470583866367194
0.000297712075106069,0.033561068503469495,0.0078043402383111415
0.00031259767886137246,0.034194327811175276,0.010079362229528805
0.0003274832826166759,0.032957751266178316,0.008839790602705499
0.00034236888637197935,0.03446272637024494,0.006295826789813407
0.0003572544901272828,0.03545857186865947,0.0031923670973104854
0.00037214009388258625,0.03537771734139528,0.0009641853409077931
0.0003870256976378897,0.03620722845506236,0.004293229808690021
0.00040191130139319314,0.03607591025337258,0.0073054465600721685
0.0004167969051484966,0.03397771389806851,0.002851628001121226
0.00043168250890380003,0.03890207391623198,0.006669888328869833
0.0004465681126591035,0.04482337880822407,0.011103526353474995
0.0004614537164144069,0.045838934862123,0.012218624024408362
0.0004763393201697104,0.048184218149460965,0.014675252536613392
0.0004912249239250138,0.050085401912772644,0.014704116683367404
0.0005061105276803173,0.051217614949732336,0.013204806237837508
0.0005209961314356208,0.051309547883613534,0.013084125667302092
0.0005358817351909242,0.05138150291375853,0.01147867125255904
0.0005507673389462276,0.051728986640807856,0.008658617427312932
0.0005656529427015311,0.05419688733069372,0.005851033094427602
0.0005805385464568346,0.05670798640971004,0.01235372050618878
0.000595424150212138,0.061155307606065266,0.012320841415024446
0.0006103097539674415,0.06388369763294112,0.012306423757837963
0.0006251953577227449,0.07928387559651053,0.02218405455070646
0.0006400809614780483,0.07314972931375315,0.014374422033533778
0.0006549665652333518,0.08030357748670816,0.015445535293516239
0.0006698521689886553,0.08499690885199158,0.017789080980315043
0.0006847377727439587,0.08972279174919384,0.021452271470775077
0.0006996233764992621,0.09306682407579307,0.02108637151345864
0.0007145089802545657,0.09253876011778134,0.0171202584379788
0.0007293945840098691,0.0938291808983396,0.017173385821865957
0.0007442801877651725,0.0938291808983396,0.017173385821865957
0.0007591657915204759,0.09815263082117805,0.013919545055890792
0.0007740513952757794,0.09809799376690888,0.015583409026487435
0.0007889369990310829,0.10249596994069173,0.01671822761103447
0.0008038226027863863,0.0998182775514251,0.01493943182141365
0.0008187082065416897,0.09926083520521368,0.015108260716310466
0.0008335938102969932,0.10165109604400098,0.018965561126645866
0.0008484794140522966,0.10381100865351116,0.019763010664012075
0.0008633650178076001,0.10303481469116882,0.020334096514544975
0.0008782506215629036,0.10205805015495889,0.02111198619091625
0.000893136225318207,0.10381100865351116,0.02412217673315381
0.0009080218290735104,0.10755812445892253,0.021455742957807743
0.0009229074328288139,0.10692872356011414,0.019106433796803435
0.0009377930365841174,0.10698367006705171,0.022026304398778576
0.0009526786403394208,0.11457143726401907,0.02240954692704352
0.0009675642440947242,0.11771151211419846,0.02512820267045677
0.0009824498478500276,0.12012382017448879,0.025171317422386
0.000997335451605331,0.1213542929113534,0.024371483137465497
0.0010122210553606347,0.12245275872959027,0.02135160736762717
0.0010271066591159381,0.12042196666730343,0.0210916532808434
0.0010419922628712415,0.12473265482377038,0.025233801645672512
0.001056877866626545,0.13193997809186775,0.019561961378278047
0.0010717634703818484,0.13217792966086184,0.019148412218980265
0.0010866490741371518,0.12712922402052143,0.024364587519793143
0.0011015346778924552,0.1347261907266469,0.017115316694494457
0.0011164202816477588,0.12658133817490327,0.020652827956545276
0.0011313058854030623,0.138886067059228,0.015480272904729189
0.0011461914891583657,0.13768248806282818,0.013399329504461549
0.001161077092913669,0.13594261781398229,0.012340086940966511
0.0011759626966689725,0.13624997846272116,0.011794268627518372
0.001190848300424276,0.14335767579199926,0.005370816643828825
0.0012057339041795794,0.14127871069493758,0.008635883442749657
0.001220619507934883,0.14341186426545496,0.005585429941027298
0.0012355051116901864,0.14577898212485293,0.00875403075747486
0.0012503907154454898,0.14623867205414612,0.010686055662946631
0.0012652763192007933,0.14693825070498298,0.01052542182623254
0.0012801619229560967,0.15862678467641508,0.017791010095751396
0.0012950475267114,0.1553761058731,0.009366335444202716
0.0013099331304667035,0.15748633594750175,0.015397620588826879
0.0013248187342220072,0.1610055277519971,0.0164143236283119
0.0013397043379773106,0.16579326679585024,0.025250128132501586
0.001354589941732614,0.15877435764856618,0.015062061392682154
0.0013694755454879174,0.16815780394037128,0.02221995374228309
0.0013843611492432208,0.16782385535708907,0.025756656193535635
0.0013992467529985243,0.1766820528935431,0.024608476847712994
0.0014141323567538277,0.17818596273889778,0.030523615138608597
0.0014290179605091313,0.1806640841547372,0.028997905134119012
0.0014439035642644347,0.18146179304559903,0.02875574180192307
0.0014587891680197381,0.18551423776482004,0.0253468852674099
0.0014736747717750416,0.18260998399994346,0.025446059629984343
0.001488560375530345,0.1835518388967108,0.023159259547459836
0.0015034459792856484,0.1827249624689904,0.024023688453300805
0.0015183315830409518,0.1817483438099443,0.025012257077664843
0.0015332171867962552,0.18374500207776812,0.022167481168101546
0.0015481027905515589,0.18566199624565072,0.02131535120799092
0.0015629883943068623,0.19158964791825994,0.017384372790911873
0.0015778739980621657,0.18695332400252093,0.020657775893945983
0.0015927596018174691,0.18888348976987804,0.01891027861972207
0.0016076452055727726,0.19541406544158035,0.01671588143602793
0.001622530809328076,0.1968446209484401,0.020226551768530776
0.0016374164130833794,0.2031709651202659,0.023892832256461303
0.001652302016838683,0.21351355141512907,0.023523307087759338
0.0016671876205939865,0.22199845646425742,0.02083883146975519
0.0016820732243492899,0.22599058047264975,0.018172933660397586
0.0016969588281045933,0.22440866877503277,0.01957678411365945
0.0017118444318598967,0.22718130803206452,0.017232770254526558
0.0017267300356152001,0.22412928448945602,0.015935062558998278
0.0017416156393705035,0.22198183688034626,0.016673980530620684
0.0017565012431258072,0.22080041416316307,0.017529835775772808
0.0017713868468811106,0.21961899144597985,0.018497342956822656
0.001786272450636414,0.22037042978158983,0.017700066639919836
0.0018011580543917174,0.21998771923365243,0.016125450988841643
0.0018160436581470209,0.218480914849614,0.015317648748223849
0.0018309292619023243,0.22379849630582727,0.02409823021731454
0.0018458148656576277,0.21843557362510588,0.01570120796115855
0.0018607004694129313,0.2285225224659524,0.025424096376460675
0.0018755860731682348,0.22841881621002721,0.025009273166866634
0.0018904716769235382,0.22936528788405294,0.024198271508029272
0.0019053572806788416,0.2319970753414441,0.02031399796538197
0.001920242884434145,0.23025625360304283,0.018040118471377514
0.0019351284881894484,0.23267384819561196,0.021209341678920815
0.0019500140919447519,0.23340597492798368,0.01780420249288646
0.0019648996957000553,0.23534698660072095,0.02005144450720486
0.001979785299455359,0.2369460801799844,0.022251458368858886
0.001994670903210662,0.2387355733214156,0.021014211364570712
0.0020095565069659658,0.24299890861919696,0.019560566830551927
0.0020244421107212694,0.24521093114604922,0.02195265971171312
0.0020393277144765726,0.24341812466073234,0.0187846211776881
0.0020542133182318762,0.24976420135797153,0.027015134311765464
0.0020690989219871794,0.24978443974620337,0.02492304617868288
0.002083984525742483,0.24923759136033774,0.02421361990772783
0.0020988701294977863,0.2505258409212694,0.025350705934539797
0.00211375573325309,0.25385227970885776,0.026214532606554795
0.0021286413370083935,0.2535646708707088,0.022019697363010807
0.0021435269407636967,0.2572327885422601,0.017937860542565874
0.0021584125445190004,0.2578439863126894,0.016449680875329872
0.0021732981482743036,0.2567322530726989,0.015105153382862767
0.0021881837520296072,0.25553479053164824,0.014116436188594726
0.0022030693557849104,0.25553479053164824,0.014116436188594726
0.002217954959540214,0.2572471265059325,0.01453457795894139
0.0022328405632955177,0.26151370530386125,0.018391195767047133
0.002247726167050821,0.26280073015275945,0.017681280451286148
0.0022626117708061245,0.26561290576710955,0.027115762727700568
0.0022774973745614277,0.260338469932738,0.02009496878572048
0.0022923829783167314,0.2654535432595982,0.021757066351142138
0.0023072685820720346,0.2690746849970182,0.025722448669459528
0.002322154185827338,0.2711586466122436,0.024851263402201586
0.002337039789582642,0.27419358370638836,0.030288224457747672
0.002351925393337945,0.278979470668172,0.02620651500532217
0.0023668109970932487,0.28792434288958685,0.03452768909078456
0.002381696600848552,0.29085342001629866,0.035509672304199595
0.0023965822046038555,0.2914492330442726,0.03471978773737778
0.0024114678083591587,0.29338209716928576,0.027633012644825077
0.0024263534121144624,0.2965871308667718,0.03178600631357599
0.002441239015869766,0.2980918067400781,0.033212303093247096
0.002456124619625069,0.29945483265430434,0.03206637891378501
0.002471010223380373,0.30207517149544333,0.02921751969154917
0.002485895827135676,0.30524946436271705,0.030271628781119
