vol_label,vol_key,V_norm,p_norm_mean,p_norm_std
25%,v1,0.0,-0.0005253342955744639,0.0
25%,v1,9.948911785793011e-06,-0.0015760028867233917,0.0011144023300336894
25%,v1,1.9897823571586023e-05,-0.0013832228631477656,0.002228804660067379
25%,v1,2.9846735357379032e-05,0.0004730217997790329,0.0008178963716857665
25%,v1,3.9795647143172045e-05,0.0035200559419564627,0.005646574475437889
25%,v1,4.974455892896506e-05,0.007426938950286641,0.0048900769400900025
25%,v1,5.9693470714758065e-05,0.010754214868667478,0.01075292365688943
25%,v1,6.964238250055108e-05,0.014817834920475219,0.01129314895087578
25%,v1,7.959129428634409e-05,0.016302519344036384,0.008323559766553279
25%,v1,8.95402060721371e-05,0.01755198437793184,0.00944626086143553
25%,v1,9.948911785793012e-05,0.01867813001890019,0.008647812523768674
25%,v1,0.00010943802964372312,0.020413789583871064,0.010351432250368308
25%,v1,0.00011938694142951613,0.022491600468356444,0.010179506900958745
25%,v1,0.00012933585321530915,0.02322558173921583,0.008469861713156834
25%,v1,0.00013928476500110217,0.02422848023821232,0.008192606461805542
25%,v1,0.00014923367678689516,0.02428286836611595,0.006171576792143551
25%,v1,0.00015918258857268818,0.024065175017199462,0.005170655384192701
25%,v1,0.0001691315003584812,0.023182038633656997,0.005035364235903839
25%,v1,0.0001790804121442742,0.022462195322077206,0.005410444447982298
25%,v1,0.0001890293239300672,0.02373946548149772,0.00564657447543789
25%,v1,0.00019897823571586023,0.025974043326505995,0.010433991819500688
25%,v1,0.00020892714750165323,0.029141465550499627,0.007289191022208546
25%,v1,0.00021887605928744625,0.030809059164150294,0.0038924786384951916
25%,v1,0.00022882497107323927,0.03311290548942116,0.002823287237718944
25%,v1,0.00023877388285903226,0.034603669551160704,0.0
25%,v1,0.0002487227946448253,0.03726549028586537,0.0
25%,v1,0.0002586717064306183,0.03900240067323411,0.002823287237718946
25%,v1,0.0002686206182164113,0.04166422140793878,0.0011007750338261053
25%,v1,0.00027856953000220434,0.04373866871377389,0.0028232872377189425
25%,v1,0.00028851844178799733,0.04553807155245912,0.0030133623935714223
25%,v1,0.0002984673535737903,0.0456338800352223,0.004298768676315017
25%,v1,0.00030841626535958337,0.04465835701466984,0.004268920182444699
25%,v1,0.00031836517714537636,0.04378386452332054,0.005462554636016082
