vol_label,vol_key,V_norm,p_norm_mean,p_norm_std
25%,v1,0.0,0.0016860536245884988,1.4701061376039e-13
25%,v1,8.516222573601998e-06,0.002831802070974375,0.0006852471947941022
25%,v1,1.7032445147203995e-05,0.003437245339157628,0.0018782967426613667
25%,v1,2.5548667720805995e-05,0.0022556363664846396,0.0030713462998280417
25%,v1,3.406489029440799e-05,0.0021535823866154383,0.005351171444511812
25%,v1,4.258111286800999e-05,0.0020643470622981413,0.005175273273590002
25%,v1,5.109733544161199e-05,0.0014008763077943815,0.004844676346996723
25%,v1,5.9613558015213985e-05,-0.000294808878800279,0.004844692343849004
25%,v1,6.812978058881598e-05,-0.00014556163902471858,0.005618012036684186
25%,v1,7.664600316241798e-05,0.0006789196472743485,0.002823287237718945
25%,v1,8.516222573601997e-05,0.002661820734704669,0.002823287237718945
25%,v1,9.367844830962198e-05,0.0033272759183808364,0.002823287237718944
25%,v1,0.00010219467088322398,0.003992731102057004,0.002823287237718944
25%,v1,0.00011071089345682597,0.004053395730917782,0.002823287237718944
25%,v1,0.00011922711603042797,0.0044835864095626515,0.0029669502877070673
25%,v1,0.00012774333860402997,0.004688693102638362,0.004990905874878547
25%,v1,0.00013625956117763196,0.005319017690436556,0.005265683779944078
25%,v1,0.00014477578375123395,0.006170878995979599,0.007712235232346733
25%,v1,0.00015329200632483597,0.006192889227040699,0.006115600629272511
25%,v1,0.00016180822889843796,0.006606705656530377,0.005832785552376292
25%,v1,0.00017032445147203995,0.007094366628880325,0.0077087743548370285
25%,v1,0.00017884067404564196,0.008845201816439016,0.007348908243482204
25%,v1,0.00018735689661924395,0.00902811944123635,0.00747182764451884
25%,v1,0.00019587311919284594,0.009300869785549478,0.008176012130268645
25%,v1,0.00020438934176644796,0.009319283224882478,0.011449743731143757
25%,v1,0.00021290556434004995,0.010027925504964995,0.012306423757804974
25%,v1,0.00022142178691365194,0.010556613422404127,0.012306423757804974
25%,v1,0.00022993800948725393,0.011222068606080295,0.01011512378516775
25%,v1,0.00023845423206085594,0.012279796553629678,0.009780153880180005
25%,v1,0.00024697045463445796,0.013035921253720394,0.008380268404798566
25%,v1,0.00025548667720805995,0.014409008670755952,0.007469715910706823
25%,v1,0.00026400289978166194,0.016369661774071172,0.010056259579937174
25%,v1,0.0002725191223552639,0.01833836538337901,0.0085037729408447
25%,v1,0.0002810353449288659,0.01857374470404169,0.007558821959911408
25%,v1,0.0002895515675024679,0.01954809475523409,0.01123555742029385
25%,v1,0.0002980677900760699,0.020241211880630924,0.010179506900958745
25%,v1,0.00030658401264967194,0.02295240058461692,0.010179506900958745
25%,v1,0.0003151002352232739,0.024948766135645423,0.012552526039785414
25%,v1,0.0003236164577968759,0.026945131686673923,0.012306423757804975
25%,v1,0.0003321326803704779,0.028614572898075195,0.012306423757804975
25%,v1,0.0003406489029440799,0.029280028081751362,0.012937927475449848
25%,v1,0.0003491651255176819,0.030610938449103696,0.012937927475449848
25%,v1,0.0003576813480912839,0.03127639363277986,0.014116436188594726
25%,v1,0.0003661975706648859,0.031844233067254535,0.014116436188594726
25%,v1,0.0003747137932384879,0.03180237878419934,0.013913985342784232
25%,v1,0.0003832300158120899,0.031920086068559166,0.01229775912854743
25%,v1,0.0003917462383856919,0.03201770181776067,0.01032916221404835
25%,v1,0.00040026246095929387,0.03205955610081586,0.010179506900958746
25%,v1,0.0004087786835328959,0.03308987762465619,0.010179506900958746
25%,v1,0.0004172949061064979,0.03390435024567989,0.012542423643904982
25%,v1,0.0004258111286800999,0.03493414118651796,0.01194132025101352
25%,v1,0.0004343273512537019,0.03445649695760381,0.00831542598635266
25%,v1,0.00044284357382730387,0.03497293470393245,0.007485537668170228
25%,v1,0.00045135979640090586,0.035274054130446715,0.009780153880180005
25%,v1,0.00045987601897450785,0.03782789124208502,0.009780153880180005
25%,v1,0.0004683922415481099,0.03927107890055008,0.013211732347280404
